0,  87.0000
0.0050,  87.0000
0.0100,  88.0000
0.0150,  89.0000
0.0200,  89.0000
0.0250,  91.0000
0.0300,  90.0000
0.0350,  94.0000
0.0400,  96.0000
0.0450,  97.0000
0.0500,  99.0000
0.0550, 100.0000
0.0600, 102.0000
0.0650, 103.0000
0.0700, 104.0000
0.0750, 107.0000
0.0800, 109.0000
0.0850, 111.0000
0.0900, 112.0000
0.0950, 115.0000
0.1000, 118.0000
0.1050, 120.0000
0.1100, 122.0000
0.1150, 125.0000
0.1200, 127.0000
0.1250, 128.0000
0.1300, 130.0000
0.1350, 133.0000
0.1400, 136.0000
0.1450, 138.0000
0.1500, 141.0000
0.1550, 142.0000
0.1600, 145.0000
0.1650, 148.0000
0.1700, 150.0000
0.1750, 152.0000
0.1800, 157.0000
0.1850, 158.0000
0.1900, 160.0000
0.1950, 163.0000
0.2000, 168.0000
0.2050, 168.0000
0.2100, 171.0000
0.2150, 172.0000
0.2200, 175.0000
0.2250, 178.0000
0.2300, 180.0000
0.2400, 185.0000
0.2500, 190.0000
0.2600, 196.0000
0.2700, 200.0000
0.2800, 205.0000
0.2900, 210.0000
0.3000, 215.0000
0.3100, 222.0000
0.3200, 226.0000
0.3300, 232.0000
0.3400, 237.0000
0.3500, 243.0000
0.3600, 248.0000
0.3700, 254.0000
0.3800, 259.0000
0.3900, 264.0000
0.4000, 268.0000
0.4100, 276.0000
0.4200, 281.0000
0.4300, 285.0000
0.4400, 293.0000
0.4500, 297.0000
0.4600, 303.0000
0.4700, 310.0000
0.4800, 319.0000
0.4900, 323.0000
0.5000, 325.0000
0.5100, 331.0000
0.5200, 345.0000
0.5300, 351.0000
0.5400, 374.0000
0.5500, 382.0000
0.5600, 388.0000
0.5700, 395.0000
0.5800, 402.0000
0.5900, 406.0000
0.6000, 413.0000
0.6100, 418.0000
0.6200, 423.0000
0.6300, 426.0000
0.6350, 431.0000
0.6400, 434.0000
0.6450, 438.0000
0.6500, 442.0000
0.6550, 446.0000
0.6600, 450.0000
0.6650, 454.0000
0.6700, 457.0000
0.6750, 458.0000
0.6800, 462.0000
0.6850, 468.0000
0.6900, 474.0000
0.6950, 475.0000
0.7000, 479.0000
0.7050, 482.0000
0.7100, 488.0000
0.7150, 492.0000
0.7200, 500.0000
0.7250, 504.0000
